784	"Going down!"	「要下去嘍！」
785	Fill bottle 1/4 full.	把瓶子裝到四分之一滿。
786	Fill bottle 1/2 full.	把瓶子裝到一半滿。
787	Fill bottle 3/4 full.	把瓶子裝到四分之三滿。
788	Fill bottle to top.	把瓶子裝滿到瓶口。
789	Never mind.	算了。
790	"I'd better get inside first."	「我還是先進去比較好。」
791	"I'm outa here!"	「我閃人啦！」
792	"That was soooo much fun!"	「有夠——好玩的啦！」
793	"Check it out..."	「你看看……」
794	"A crack!"	「有裂縫！」
795	"Not!"	「才怪！」
796	"Ha! Ha! Ha!"	「哈！哈！哈！」
797	"There's an eye!"	「有顆眼珠！」
798	"Sick!"	「噁心！」
799	"Not likely!"	「哪有可能！」
800	"Putrid!"	「臭到爆！」
801	"What was it?"	「那是什麼？」
802	"EEW!  It's still seeping!"	「噁！還在滲耶！」
803	"I don't want that stupid thing."	「我才不要那個蠢東西。」
804	"Bring me some BATTERIES!"	「幫我帶點『電池』來！」
