21016	[title24][sentence]\nIt appears to be another hut.  In fact\nthere are a few of them up there.	[title24][sentence]\n看起來又是一間茅屋。事實上，\n那邊還有好幾間。
21017	[title24][sentence]\nWow!  There's another woman up there!\n	[title24][sentence]\n哇！那邊還有一個女人！\n
21201	[title20][sentence]\nThe grass here is unusually tall.	[title20][sentence]\n這裡的草長得異常高。
21202	[title24][sentence]\nThe rocks here are of little interest.	[title24][sentence]\n這裡的石頭沒什麼看頭。
21203	[title21][sentence]\nInside this cave is the small pool you from\nwhich you emerged after escaping from\nyour ship.	[title21][sentence]\n這個洞穴裡有個小水池，你逃出\n太空船後就是從這裡冒出來的。
21204	[title29][sentence]\nIt's wonderful to see sky again after spending\nso much time under water.  The clear blue\nsky appears to be free of hostile spacecraft.	[title29][sentence]\n泡在水裡那麼久之後，再看到\n天空的感覺真好。這片湛藍晴空\n看起來沒有敵艦的蹤影。
21205	[title24][sentence]\nThe field to the north looks quite large.	[title24][sentence]\n北邊的那片田看起來相當大。
21206	[title22][sentence]\nThe trees in the distance appear to mark the\nedge of a thick forest.	[title22][sentence]\n遠方的樹木似乎標示著一片\n茂密森林的邊界。
21207	[title20][sentence]\nThese odd-looking alien plants do not hold\nyour interest for long.	[title20][sentence]\n這些長相怪異的外星植物\n引不起你太多興趣。
21208	[title17][sentence]\nThe tall majestic mountains remind you\nof something you haven't seen in a while.	[title17][sentence]\n這幾座雄偉高山讓你想起\n好一陣子沒見過的東西。
21209	[title20][sentence]\nYou are standing at the southern end of\na large field.\n	[title20][sentence]\n你站在一片大草原的南端。\n
20801	[title30][sentence]\nYou feel much better after your self-administered\nRorschach determines that it's all your parents' fault..	[title30][sentence]\n你自己做了一次羅夏克墨跡\n測驗，結論是「都是你爸媽的錯」，\n頓時感覺舒坦多了。
20802	[title27][sentence]\nYou think you see a small grass hut to the west.\nYou think a lot of things, but this one is almost a sure thing.	[title27][sentence]\n你覺得西邊好像有一間茅草屋。\n你的想法通常很多，但這次\n幾乎可以確定是真的。
20803	[title22][sentence]\nThis bush looks like it may have had leaves at\none time.	[title22][sentence]\n這叢灌木看起來曾經\n長過葉子。
20804	[title27][sentence]\nA little proverb: Once a rock, always a rock.	[title27][sentence]\n有句老話說：「一日為石，\n終生為石。」
20805	[title18][sentence]\nThe small cactus looks pretty nasty.  You decide\nto leave it alone.	[title18][sentence]\n這棵小仙人掌看起來很兇，\n你決定別惹它。
20806	[title22][sentence]\nIn order to do that, you would have to\ntouch it.  Not a good idea.	[title22][sentence]\n要那樣做，你得先碰它才行。\n這可不是好主意。
20807	[title24][sentence]\nYour eyes and mouth water at the sight \nof a tree bearing luscious melons.	[title24][sentence]\n看到樹上結著多汁的甜瓜，\n你不禁口水直流。
20808	[title24][sentence]\nThis pit looks truly deep.  You decide to\nbe careful walking around it.	[title24][sentence]\n這個坑看起來深不見底，\n你決定走路小心點。
20809	[title29][sentence]\nThese must have fallen from that thorny bush.	[title29][sentence]\n這些一定是從那叢帶刺\n灌木上掉下來的。
20810	[title29][sentence]\nIt looks like someone was trying to set a trap.\nOf course it won't work because there's no bait.	[title29][sentence]\n看起來有人想在這裡設陷阱，\n不過沒放餌，當然不會有用。
20811	[title22][sentence]\nThe pit is well hidden by the leaves.	[title22][sentence]\n這個坑被樹葉蓋得很隱密。
