msg:1	[title26][sentence]\n你幹嘛沒事找罪受，\n做這種缺德事？
msg:2	[title32][sentence]\n好棒棒喔，真的有夠棒。\n現在你連沒生命的東西都要\n交談，再這樣下去你大概會\n「給」天花板一扇門，\n然後想「關」一張椅子。\n佛心提醒：找個好歹會回嘴的\n東西講話吧。
msg:3	[title32][sentence]\n該死！我就知道你會去\n幹這種蠢事，夠了喔，\n別鬧了！
msg:4	[title32][sentence]\n你翻了翻身上家當，赫然\n發現[noun1][noun1:is:are]根本不在。\n你這笨蛋，怎麼會忘記帶\n[noun1:it:them]？身上沒有[noun1]，\n哪來的[noun1:it:them]可以丟向\n[noun2]呢？
msg:5	[title32][sentence]\n你翻了翻身上家當，赫然\n發現[noun1][noun1:is:are]根本不在。\n你這笨蛋，怎麼會忘記帶\n[noun1:it:them]？身上沒有[noun1]，\n哪來的[noun1:it:them]可以丟向\n[noun2]呢？
msg:6	[title32][sentence]\n其實沒必要把[noun1]丟向\n[noun2]。而且東西亂丟，\n小心通通摔壞。
msg:7	[title32][sentence]\n你仔細端詳[noun1]，心裡\n默默記下一個驚天結論：\n[noun1:it is:they are]這果然是\n[noun1:a :][noun1]。除此之外，\n沒有更多發現。
msg:8	[title32][sentence]\n你拿不走[noun1]，就算真的\n能拿，你也沒地方帶著\n[noun1:it:them]到處跑。
msg:9	[title17][sentence]\n老媽常說一句話：「沒開過\n的東西，你是要怎麼關？\n就這樣，沒得凹。」
msg:10	[title30][sentence]\n你把放大鏡轉到最大，[noun2]\n瞬間被放到超大特寫，可惜\n看了半天還是毫無所獲。
msg:12	[title27][sentence]\n噁！你可不想接下來幾天\n都在牙縫裡挖魚鱗。
msg:13	[title27][sentence]\n臭到炸。（你是能期待什麼？）
msg:14	[title21][sentence]\n上面天氣看起來挺好的，\n可惜三不五時就有艘大船\n對你開火，美感全毀。\n還是別浮上水面比較好。
msg:15	[title22][sentence]\n海底閃爍著折射的粼粼波光。
msg:16	[title32][sentence]\n[noun1]早就在你身上了，\n這位大師。還有什麼\n高見嗎？
msg:18	[title32][sentence]\n你抓住[noun1]用力拉了\n[noun1:it:them]幾下，什麼特別的事\n都沒發生，你很快就\n意興闌珊了。
msg:19	[title32][sentence]\n你推了推[noun1]，沒什麼\n動靜。不過保險起見，\n或許該多推[noun1:it:them]幾下。
msg:20	[title32][sentence]\n你推了推[noun1]，\n沒什麼動靜。
msg:21	[title32][sentence]\n你死盯著[noun1]看了\n好幾分鐘，結果只換來\n一個大呵欠。
msg:22	[title32][sentence]\n你現在用不到[noun1]。
msg:23	[title17][sentence]\n[noun1:THAT:THOSE]你拿不走！
