CREDITS.TXR.0	[background=962]
CREDITS.TXR.1	[pan=1,1,6]
CREDITS.TXR.2	[driver=#sound.009]
CREDITS.TXR.3	[sound=34]
CREDITS.TXR.4	[go]
CREDITS.TXR.5	Produced and Designed by
CREDITS.TXR.6	MATT GRUSON
CREDITS.TXR.7	
CREDITS.TXR.8	Executive Producer
CREDITS.TXR.9	TED MARKLEY
CREDITS.TXR.10	
CREDITS.TXR.11	Lead Programmer & Technical Director
CREDITS.TXR.12	BRIAN REYNOLDS
CREDITS.TXR.13	
CREDITS.TXR.14	Art Director
CREDITS.TXR.15	KENN NISHIUYE
CREDITS.TXR.16	
CREDITS.TXR.17	Music By
CREDITS.TXR.18	JEFFERY L. BRIGGS
CREDITS.TXR.19	
CREDITS.TXR.20	
CREDITS.TXR.21	
CREDITS.TXR.22	
CREDITS.TXR.23	THE DESIGN TEAM
CREDITS.TXR.24	
CREDITS.TXR.25	Game Design @ MATT GRUSON
CREDITS.TXR.26	\t    @ JEFF CHARLEBOIS
CREDITS.TXR.27	\t    @ TED MARKLEY
CREDITS.TXR.28	
CREDITS.TXR.29	Rex's Log Text @ STEVE MERETZKY
CREDITS.TXR.30	
CREDITS.TXR.31	Manual Text @ DOUG KAUFMAN
CREDITS.TXR.32	
CREDITS.TXR.33	Game Text @ JEFF CHARLEBOIS
CREDITS.TXR.34	\t  @ MATT GRUSON
CREDITS.TXR.35	\t  @ BRIAN REYNOLDS
CREDITS.TXR.36	
CREDITS.TXR.37	
CREDITS.TXR.38	
CREDITS.TXR.39	
CREDITS.TXR.40	THE ART TEAM
CREDITS.TXR.41	
CREDITS.TXR.42	Art Director @ KENN NISHIUYE
CREDITS.TXR.43	
CREDITS.TXR.44	Painting @ MIKE GIBSON (Lead)
CREDITS.TXR.45	\t @ NICHOLAS RUSKO-BERGER
CREDITS.TXR.46	\t @ KENN NISHIUYE
CREDITS.TXR.47	
CREDITS.TXR.48	Animation @ FRANK FRAZIER (Lead)
CREDITS.TXR.49	\t  @ CHARLES SHENTON
CREDITS.TXR.50	\t  @ KEN RACE
CREDITS.TXR.51	\t  @ CINDY LANG-BACHUR
CREDITS.TXR.52	\t  @ KEVIN BOEHM
CREDITS.TXR.53	\t  @ ANNE-MARIE COX
CREDITS.TXR.54	\t  @ JACKIE ROSS
CREDITS.TXR.55	\t  @ PATRICK DOWNEY
CREDITS.TXR.56	\t  @ KENN (again)
CREDITS.TXR.57	
CREDITS.TXR.58	3-D Animation @ MATT GRUSON
CREDITS.TXR.59	\t      @ ANDY LAKEN
CREDITS.TXR.60	
CREDITS.TXR.61	3-D Models @ FRANK VIVIRITO
CREDITS.TXR.62	\t   @ ANDY LAKEN
CREDITS.TXR.63	\t   @ GINNY SCHMIDT
CREDITS.TXR.64	\t   @ MAX REMINGTON
CREDITS.TXR.65	
CREDITS.TXR.66	Lead Rotoscope Engineer
CREDITS.TXR.67	CHARLES SHENTON
CREDITS.TXR.68	
CREDITS.TXR.69	Rotoscoping and Image Processing Tools
CREDITS.TXR.70	MATT GRUSON
CREDITS.TXR.71	
CREDITS.TXR.72	Rotoscope Modeling @ DREW WILLIAMS
CREDITS.TXR.73	\t\t   @ BONNIE SHEEKS
CREDITS.TXR.74	\t\t   @ CLAIRE BAGBY
CREDITS.TXR.75	\t\t   @ CINDY LANG-BACHUR
CREDITS.TXR.76	\t\t   @ GINNY SCHMIDT
CREDITS.TXR.77	\t\t   @ FRANK FRAZIER
CREDITS.TXR.78	\t\t   @ SARAH FRAZIER
