ENDING1.TXR.198	Playtesting @ BILL BURTON	遊戲測試 @ BILL BURTON
ENDING1.TXR.199	\t    @ ANDY MAZUREK	\t    @ ANDY MAZUREK
ENDING1.TXR.200	\t    @ DAVE ELLIS	\t    @ DAVE ELLIS
ENDING1.TXR.201	\t    @ MIKE CORCORAN	\t    @ MIKE CORCORAN
ENDING1.TXR.202	\t    @ MIKE REA	\t    @ MIKE REA
ENDING1.TXR.203	\t    @ MICHAEL CRAIGHEAD	\t    @ MICHAEL CRAIGHEAD
ENDING1.TXR.204	\t    @ AL ROIREAU	\t    @ AL ROIREAU
ENDING1.TXR.205	\t    @ DAVE OSBORN	\t    @ DAVE OSBORN
ENDING1.TXR.206	\t    @ HARRY TEASLEY	\t    @ HARRY TEASLEY
ENDING1.TXR.207	\t    @ TED MARKLEY	\t    @ TED MARKLEY
ENDING1.TXR.208	\t    @ VAUGHN THOMAS	\t    @ VAUGHN THOMAS
ENDING1.TXR.209	\t    @ SALLY STALCUP	\t    @ SALLY STALCUP
ENDING1.TXR.210	\t    @ MICHELE ROIREAU	\t    @ MICHELE ROIREAU
ENDING1.TXR.211	\t    @ DIETZEL BROWN	\t    @ DIETZEL BROWN
ENDING1.TXR.216	THE MARKETING TEAM	行銷團隊
ENDING1.TXR.218	Rex Nebular Project Manager	《錯體奇航》專案經理
ENDING1.TXR.219	MONIQUE CARON	MONIQUE CARON
ENDING1.TXR.221	Marketing Emperor	行銷皇帝
ENDING1.TXR.222	GERRY BLAIR	GERRY BLAIR
ENDING1.TXR.224	Marketing Director	行銷總監
ENDING1.TXR.225	DEBBIE CHEEK	DEBBIE CHEEK
ENDING1.TXR.227	Marketing Services Director	行銷服務總監
ENDING1.TXR.228	MARY HERRON	MARY HERRON
ENDING1.TXR.230	Marketing Services Coordinator	行銷服務協調員
ENDING1.TXR.231	BRENDA BLOOMFIELD	BRENDA BLOOMFIELD
ENDING1.TXR.233	Art Director @ JOHN EMORY	美術指導 @ JOHN EMORY
ENDING1.TXR.235	Package Cover Art @ ERIC OLSON	包裝封面美術 @ ERIC OLSON
ENDING1.TXR.237	Package Design @ JOHN EMORY	包裝設計 @ JOHN EMORY
ENDING1.TXR.238	\t       @ MOSHE MILICH	\t       @ MOSHE MILICH
ENDING1.TXR.240	Advertising Placement @ LINDSAY RIEHL	廣告刊登 @ LINDSAY RIEHL
ENDING1.TXR.242	Direct Mail Projects @ LINDSAY RIEHL	直效郵件企劃 @ LINDSAY RIEHL
ENDING1.TXR.243	\t\t     @ ED KELLY	\t\t     @ ED KELLY
ENDING1.TXR.245	Package and Advertising Copy	包裝與廣告文案
ENDING1.TXR.246	KEN HOHMAN	KEN HOHMAN
ENDING1.TXR.248	Advertising Design @ FINLEY WEATHERFORD	廣告設計 @ FINLEY WEATHERFORD
ENDING1.TXR.250	Newsletter Coverage @ GARY ALMES	媒體報導 @ GARY ALMES
ENDING1.TXR.252	800 Sales @ KAREN REITER	800 專線銷售 @ KAREN REITER
ENDING1.TXR.253	\t  @ TERI HAYWARD	\t  @ TERI HAYWARD
ENDING1.TXR.255	Rex's Log and Manual Design	雷克斯船長日誌與說明手冊設計
ENDING1.TXR.256	IRIS IDOKOGI	IRIS IDOKOGI
ENDING1.TXR.257	JOE MOREL	JOE MOREL
ENDING1.TXR.259	Rex's Log Illustrations @ MARK GLIDDEN	雷克斯船長日誌插圖 @ MARK GLIDDEN
ENDING1.TXR.261	Public Relations @ KATHY GILMORE	公共關係 @ KATHY GILMORE
ENDING1.TXR.266	No animals were hurt, maimed, squashed, mutilated,	製作本遊戲期間，沒有任何動物
ENDING1.TXR.267	run through garbage disposers, shredded, used to	受傷、致殘、被壓扁、被凌虐、
ENDING1.TXR.268	test trash compactors, or otherwise damaged during	被丟進垃圾絞碎機、被拿去
ENDING1.TXR.269	production of this game.  Honest.	測試壓縮機，或以其他方式弄傷。真的。
ENDING1.TXR.271	(CC) Closed Captioned for the sound card impaired.	（CC）為音效卡故障的玩家提供字幕。
ENDING2.TXR.7	EPILOGUE	尾聲
ENDING2.TXR.8	"An Honorable Death"	「光榮收場」
ENDING2.TXR.10	You pull on the throttle and zoom	你一把扳下節流閥，
ENDING2.TXR.11	out into space, flush with your	帶著剛打贏的得意衝進太空，
ENDING2.TXR.12	recent victory.  Unfortunately,	沒想到
ENDING2.TXR.13	Major Karg still lies in wait for	卡爾格少校還埋伏在外頭
ENDING2.TXR.14	you.  This time, she doesn't plan	等你——這次她鐵了心
ENDING2.TXR.15	to miss.	不會再失手。
ENDING2.TXR.17	Her first volley bounces harmlessly	她的第一輪砲擊被
ENDING2.TXR.18	off your shields, and you realize	護盾彈開，你這才
ENDING2.TXR.19	that installing that spare shield	意識到——裝上那個
ENDING2.TXR.20	modulator has just saved your life.	備用護盾調變器，救了你一命。
ENDING2.TXR.22	You quickly return fire, hoping to	你趕緊開火反擊，
ENDING2.TXR.23	create a distraction and slip past	想引開注意力，趁機
ENDING2.TXR.24	the dreadnought.  Since you didn't	溜過那艘無畏艦。可惜
ENDING2.TXR.25	have time to repair the targeting	瞄準電腦還沒修好，
ENDING2.TXR.26	computer, however, you are forced	你只能完全靠手動
ENDING2.TXR.27	to rely entirely on manual sighting--	瞄準——那正是你
ENDING2.TXR.28	an area in which you never excelled.	最不拿手的項目。
ENDING2.TXR.30	Apparently, you can't hit the broad	看樣子你的槍法
ENDING2.TXR.31	side of a barn.	爛到連穀倉都打不中。
ENDING2.TXR.33	Karg's second volley penetrates	卡爾格的第二輪砲擊
ENDING2.TXR.34	through to the hyperdrive core and	直接貫穿躍遷核心，
ENDING2.TXR.35	causes a nifty-looking explosion.	引發一場還挺好看的大爆炸。
ENDING2.TXR.37	THE END.	劇終。
ENDING2.TXR.43	Dang.	衰。
ENDING2.TXR.58	[color1=0,45,45]Produced and Designed by	[color1=0,45,45]製作與設計
ENDING2.TXR.59	MATT GRUSON	MATT GRUSON
ENDING2.TXR.61	Executive Producer	執行製作人
ENDING2.TXR.62	TED MARKLEY	TED MARKLEY
ENDING2.TXR.64	Lead Programmer & Technical Director	首席程式設計與技術總監
ENDING2.TXR.65	BRIAN REYNOLDS	BRIAN REYNOLDS
ENDING2.TXR.67	Art Director	美術指導
ENDING2.TXR.68	KENN NISHIUYE	KENN NISHIUYE
ENDING2.TXR.70	Music By	音樂
ENDING2.TXR.71	JEFFERY L. BRIGGS	JEFFERY L. BRIGGS
ENDING2.TXR.76	THE DESIGN TEAM	設計團隊
ENDING2.TXR.78	Game Design @ MATT GRUSON	遊戲設計 @ MATT GRUSON
ENDING2.TXR.79	\t    @ JEFF CHARLEBOIS	\t    @ JEFF CHARLEBOIS
ENDING2.TXR.80	\t    @ TED MARKLEY	\t    @ TED MARKLEY
ENDING2.TXR.82	Rex's Log Text @ STEVE MERETZKY	雷克斯船長日誌文字 @ STEVE MERETZKY
ENDING2.TXR.84	Manual Text @ DOUG KAUFMAN	說明手冊文字 @ DOUG KAUFMAN
ENDING2.TXR.86	Game Text @ JEFF CHARLEBOIS	遊戲文字 @ JEFF CHARLEBOIS
ENDING2.TXR.87	\t  @ MATT GRUSON	\t  @ MATT GRUSON
ENDING2.TXR.88	\t  @ BRIAN REYNOLDS	\t  @ BRIAN REYNOLDS
ENDING2.TXR.93	THE ART TEAM	美術團隊
ENDING2.TXR.95	Art Director @ KENN NISHIUYE	美術指導 @ KENN NISHIUYE
ENDING2.TXR.97	Painting @ MIKE GIBSON (Lead)	繪圖 @ MIKE GIBSON（首席）
ENDING2.TXR.98	\t @ NICHOLAS RUSKO-BERGER	\t @ NICHOLAS RUSKO-BERGER
ENDING2.TXR.99	\t @ KENN NISHIUYE	\t @ KENN NISHIUYE
ENDING2.TXR.101	Animation @ FRANK FRAZIER (Lead)	動畫 @ FRANK FRAZIER（首席）
ENDING2.TXR.102	\t  @ CHARLES SHENTON	\t  @ CHARLES SHENTON
ENDING2.TXR.103	\t  @ KEN RACE	\t  @ KEN RACE
ENDING2.TXR.104	\t  @ CINDY LANG-BACHUR	\t  @ CINDY LANG-BACHUR
ENDING2.TXR.105	\t  @ KEVIN BOEHM	\t  @ KEVIN BOEHM
ENDING2.TXR.106	\t  @ ANNE-MARIE COX	\t  @ ANNE-MARIE COX
ENDING2.TXR.107	\t  @ JACKIE ROSS	\t  @ JACKIE ROSS
ENDING2.TXR.108	\t  @ PATRICK DOWNEY	\t  @ PATRICK DOWNEY
ENDING2.TXR.109	\t  @ KENN (again)	\t  @ KENN（又是他）
ENDING2.TXR.111	3-D Animation @ MATT GRUSON	3-D 動畫 @ MATT GRUSON
ENDING2.TXR.112	\t      @ ANDY LAKEN	\t      @ ANDY LAKEN
ENDING2.TXR.114	3-D Models @ FRANK VIVIRITO	3-D 模型 @ FRANK VIVIRITO
ENDING2.TXR.115	\t   @ ANDY LAKEN	\t   @ ANDY LAKEN
ENDING2.TXR.116	\t   @ GINNY SCHMIDT	\t   @ GINNY SCHMIDT
ENDING2.TXR.117	\t   @ MAX REMINGTON	\t   @ MAX REMINGTON
ENDING2.TXR.119	Lead Rotoscope Engineer	首席轉描工程師
ENDING2.TXR.120	CHARLES SHENTON	CHARLES SHENTON
ENDING2.TXR.122	Rotoscoping and Image Processing Tools	轉描與影像處理工具
ENDING2.TXR.123	MATT GRUSON	MATT GRUSON
ENDING2.TXR.125	Rotoscope Modeling @ DREW WILLIAMS	轉描建模 @ DREW WILLIAMS
ENDING2.TXR.126	\t\t   @ BONNIE SHEEKS	\t\t   @ BONNIE SHEEKS
ENDING2.TXR.127	\t\t   @ CLAIRE BAGBY	\t\t   @ CLAIRE BAGBY
ENDING2.TXR.128	\t\t   @ CINDY LANG-BACHUR	\t\t   @ CINDY LANG-BACHUR
ENDING2.TXR.129	\t\t   @ GINNY SCHMIDT	\t\t   @ GINNY SCHMIDT
ENDING2.TXR.130	\t\t   @ FRANK FRAZIER	\t\t   @ FRANK FRAZIER
ENDING2.TXR.131	\t\t   @ SARAH FRAZIER	\t\t   @ SARAH FRAZIER
ENDING2.TXR.132	\t\t   @ NICHOLAS RUSKO-BERGER	\t\t   @ NICHOLAS RUSKO-BERGER
ENDING2.TXR.133	\t\t   @ IRIS IDOKOGI	\t\t   @ IRIS IDOKOGI
ENDING2.TXR.134	\t\t   @ ANNE-MARIE COX	\t\t   @ ANNE-MARIE COX
ENDING2.TXR.135	\t\t   @ MIKE GIBSON	\t\t   @ MIKE GIBSON
ENDING2.TXR.137	Assistant to Mr. Nebular	尼布勒先生的助理
ENDING2.TXR.138	MURRAY TAYLOR	MURRAY TAYLOR
