1	[title26][sentence]\nWhy would you want to do a wretched thing\nlike that?	[title26][sentence]\n你幹嘛沒事找罪受，\n做這種缺德事？
2	[title32][sentence]\nGreat.  Just great.  Now you're trying to talk to\ninanimate objects.  Pretty soon you'll be \nGIVEing the DOOR to the CEILING and trying\nto CLOSE the CHAIR.\nA free hint:  Try talking to something that at least\nstands a chance of talking back.	[title32][sentence]\n好棒棒喔，真的有夠棒。\n現在你連沒生命的東西都要\n交談，再這樣下去你大概會\n「給」天花板一扇門，\n然後想「關」一張椅子。\n佛心提醒：找個好歹會回嘴的\n東西講話吧。
3	[title32][sentence]\nDammit!  Now how did I just KNOW you'd go and\ntry to do something stupid like that.  Stop it,\nalready!	[title32][sentence]\n該死！我就知道你會去\n幹這種蠢事，夠了喔，\n別鬧了！
4	[title32][sentence]\nYou take a moment to look through your\npossessions.  Suddenly you realize that\nthe [noun1] [noun1:is:are] not among them.  How could\nyou have forgotten to bring [noun1:it:them], you fool?\nIf you don't HAVE the [noun1], you can\nhardly throw [noun1:it:them] at the [noun2], can you?	[title32][sentence]\n你翻了翻身上家當，赫然\n發現[noun1][noun1:is:are]根本不在。\n你這笨蛋，怎麼會忘記帶\n[noun1:it:them]？身上沒有[noun1]，\n哪來的[noun1:it:them]可以丟向\n[noun2]呢？
5	[title32][sentence]\nYou take a moment to look through your\npossessions.  Suddenly you realize that\nthe [noun1] [noun1:is:are] not among them.  How could\nyou have forgotten to bring [noun1:it:them], you fool?\nIf you don't HAVE the [noun1], you can\nhardly throw [noun1:it:them] at the [noun2], can you?	[title32][sentence]\n你翻了翻身上家當，赫然\n發現[noun1][noun1:is:are]根本不在。\n你這笨蛋，怎麼會忘記帶\n[noun1:it:them]？身上沒有[noun1]，\n哪來的[noun1:it:them]可以丟向\n[noun2]呢？
6	[title32][sentence]\nThere's really no need to throw the\n[noun1] at the [noun2].  Besides, if\nyou start throwing things around, you\nmight break them.	[title32][sentence]\n其實沒必要把[noun1]丟向\n[noun2]。而且東西亂丟，\n小心通通摔壞。
7	[title32][sentence]\nYou look carefully at the [noun1] and\nmake a mental note that [noun1:it is:they are], in fact,\n[noun1:a :][noun1].  Further revelations are not\nimmediately forthcoming, however.	[title32][sentence]\n你仔細端詳[noun1]，心裡\n默默記下一個驚天結論：\n[noun1:it is:they are]這果然是\n[noun1:a :][noun1]。除此之外，\n沒有更多發現。
8	[title32][sentence]\nYou can't take the [noun1], and even if you\ncould, you would have no way of carrying\n[noun1:it:them] around with you.	[title32][sentence]\n你拿不走[noun1]，就算真的\n能拿，你也沒地方帶著\n[noun1:it:them]到處跑。
9	[title17][sentence]\nWell, it's like mama always used\nto say--"if it ain't open, you can't\nclose it, and that's that."	[title17][sentence]\n老媽常說一句話：「沒開過\n的東西，你是要怎麼關？\n就這樣，沒得凹。」
10	[title30][sentence]\nYou turn the magnifier to maximum and\nget a great big image of the [noun2], but\ngain no new insights from this procedure.	[title30][sentence]\n你把放大鏡轉到最大，[noun2]\n瞬間被放到超大特寫，可惜\n看了半天還是毫無所獲。
12	[title27][sentence]\nYech!  You don't feel like spending the next\nfew days picking scales out of your gums.	[title27][sentence]\n噁！你可不想接下來幾天\n都在牙縫裡挖魚鱗。
13	[title27][sentence]\nPutrid.  (What did you expect?)	[title27][sentence]\n臭到炸。（你是能期待什麼？）
14	[title21][sentence]\nIt looks like a beautiful day up there.  Of course\nthe rather large ship taking occasional shots at\nyou ruins the aesthetics.  Better not try\nto break surface.	[title21][sentence]\n上面天氣看起來挺好的，\n可惜三不五時就有艘大船\n對你開火，美感全毀。\n還是別浮上水面比較好。
15	[title22][sentence]\nThe sea floor scintillates with refracted sunlight.	[title22][sentence]\n海底閃爍著折射的粼粼波光。
16	[title32][sentence]\nYou already have the [noun1], oh\nwise one.  Any other bright ideas?	[title32][sentence]\n[noun1]早就在你身上了，\n這位大師。還有什麼\n高見嗎？
18	[title32][sentence]\nYou grab the [noun1] and yank on [noun1:it:them]\na few times.  Nothing particularly\ninteresting happens and your interest\nin the project quickly lapses.	[title32][sentence]\n你抓住[noun1]用力拉了\n[noun1:it:them]幾下，什麼特別的事\n都沒發生，你很快就\n意興闌珊了。
19	[title32][sentence]\nYou shove on the [noun1].  Nothing\nin particular happens.  Maybe you\nshould push on [noun1:it:them] a few more times\njust in case, though.	[title32][sentence]\n你推了推[noun1]，沒什麼\n動靜。不過保險起見，\n或許該多推[noun1:it:them]幾下。
20	[title32][sentence]\nYou shove on the [noun1].  Nothing\nin particular happens.	[title32][sentence]\n你推了推[noun1]，\n沒什麼動靜。
21	[title32][sentence]\nYou stare intently at the [noun1]\nfor several minutes.  A yawn noisily\nescapes your mouth.	[title32][sentence]\n你死盯著[noun1]看了\n好幾分鐘，結果只換來\n一個大呵欠。
22	[title32][sentence]\nYou have no need for the [noun1]\nright now.	[title32][sentence]\n你現在用不到[noun1]。
23	[title17][sentence]\nYou can't take [noun1:THAT:THOSE]!	[title17][sentence]\n[noun1:THAT:THOSE]你拿不走！
24	[title32][sentence]\nYou take a moment to look through your\npossessions.  Suddenly you realize that\nthe [noun1] [noun1:is:are] not among them.  How could\nyou have forgotten to bring [noun1:it:them], you fool?\nIf you don't HAVE the [noun1], you can\nhardly put [noun1:it:them] somewhere, can you?	[title32][sentence]\n你翻了翻身上家當，赫然\n發現[noun1][noun1:is:are]根本不在。\n你這笨蛋，怎麼會忘記帶\n[noun1:it:them]？身上沒有[noun1]，\n哪來的[noun1:it:them]可以放到\n別的地方呢？
25	[title32][sentence]\nPicture yourself cramming the [noun1]\ninto the [noun2].  Picture yourself accomplishing\nsomething through this process.  Now count\nto ten slowly and think of something else.	[title32][sentence]\n想像你把[noun1]硬塞進\n[noun2]，再想像這樣做\n真的有意義。好，現在\n慢慢數到十，換個念頭吧。
26	[title32][sentence]\nYou take a moment to look through your\npossessions.  Suddenly you realize that\nthe [noun1] [noun1:is:are] not among them.  How could\nyou have forgotten to bring [noun1:it:them], you\nfool?  At any rate, you can't give what\nyou don't have.	[title32][sentence]\n你翻了翻身上家當，赫然\n發現[noun1][noun1:is:are]根本不在。\n你這笨蛋，怎麼會忘記帶\n[noun1:it:them]？總之，身上沒有的\n東西，你是要怎麼給？
28	[title32][sentence]\nThe [noun2] makes no discernible moves\ntoward the [noun1].  After several minutes\nit begins to dawn on you that the [noun2]\nisn't the least bit interested in your "gift."	[title32][sentence]\n[noun2]對[noun1]毫無反應。\n過了好幾分鐘，你才漸漸\n意識到[noun2]根本對你的\n「禮物」一點興趣也沒有。
29	[title32][sentence]\nYou wave your hands wildly and point\nemphatically at the [noun1].  When the\ndust settles, however, it becomes clear\nthat you have failed to convince the\n[noun2] that it needs [noun1:a :the ][noun1].	[title32][sentence]\n你揮舞雙手拚命指向\n[noun1]，塵埃落定後才發現，\n[noun2]完全沒被你說服，\n根本不覺得自己需要\n[noun1:a :the ][noun1]。
30	[title32][sentence]\nYou can't think of any way to\nget [noun1:this:these] particular [noun1] open.	[title32][sentence]\n你想不出任何辦法能把\n[noun1:this:these]個[noun1]打開。
31	[title32][sentence]\nYou can't think of any way to\nget [noun1:this:these] particular [noun1] open.\nMaybe a great big hammer would help.	[title32][sentence]\n你想不出任何辦法能把\n[noun1:this:these]個[noun1]打開。\n或許一把大鐵鎚能幫上忙。
32	[title32][sentence]\nYou can't think of any way to\nget [noun1:this:these] particular [noun1] open.\nMaybe a great big lever would help.	[title32][sentence]\n你想不出任何辦法能把\n[noun1:this:these]個[noun1]打開。\n或許一根大槓桿能幫上忙。
33	[title32][sentence]\nYou can't close [noun1:a :][noun1].  Not\n[noun1:this one:these] at least.	[title32][sentence]\n[noun1:a :][noun1]是關不起來的，\n至少[noun1:this one:these]個不行。
34	[title26][sentence]\nYou really don't need to do that.	[title26][sentence]\n你真的沒必要這麼做。
35	[title26][sentence]\nYou can't [sentence].  Not in this\ngame, at least.	[title26][sentence]\n你沒辦法[sentence]。\n至少在這款遊戲裡不行。
36	[title26][sentence]\nHave you gone mad?  What kind of a\nperson would try to [sentence]?\nPerhaps you'd better scrape some\nbrain tissue into a cup and think\nof something else.	[title26][sentence]\n你瘋了嗎？什麼樣的人才會\n想要[sentence]？你或許該\n刮點腦漿裝進杯子裡，\n換個想法吧。
37	[title26][sentence]\nThat won't get you anywhere right\nnow.  Perhaps you should devise a\ndifferent plan.	[title26][sentence]\n這樣做現在不會有\n任何進展，你該換個\n計畫了。
38	[title32][sentence]\nBlowguns don't work underwater.  Apparently\nyour brain doesn't either.	[title32][sentence]\n吹箭筒在水裡沒用，\n看來你的腦袋也是。
39	[title32][sentence]\nWhile it might be good practice for you to\nshoot a few darts into the [noun2], you really\ncan't afford to waste your limited supply of\nammunition.	[title32][sentence]\n朝[noun2]射幾支鏢或許\n是不錯的練習，但你的\n彈藥有限，實在浪費不起。
40	[title32][sentence]\nNow what did the poor [noun2] ever do to you\nthat it deserves to be shot with head-shrinking\ndarts?	[title32][sentence]\n可憐的[noun2]到底招惹你\n什麼了，值得被你用縮頭\n毒鏢招呼？
41	[title32][sentence]\nThe piranhas are moving too quickly for you to\nbe able to get in a good shot at them.	[title32][sentence]\n食人魚游得太快，\n你根本瞄不準。
42	[title32][sentence]\nBe careful with those bombs!  Not only\ndo you have a limited supply of them, but\nyou also should consider the consequences\nof being too near when one goes off.	[title32][sentence]\n炸彈要小心拿！數量本來\n就有限，而且離爆炸點\n太近的下場，你自己\n想想看。
99	[title26][sentence]\n[center](NOT AVAILABLE IN DEMO)	[title26][sentence]\n[center]（試玩版無法使用）
