32004	[title19][sentence]\nThis must be where the guards monitor\nsecurity operations.	[title19][sentence]\n這裡應該就是警衛\n監控保全的地方。
32005	[title30][sentence]\nPeering into the depths of the coffee mug,\nyou notice what appears to be a small\nbacteria colony declaring independence from\nit's larger neighbor.	[title30][sentence]\n盯著咖啡杯底往下看，\n你發現裡面那坨小細菌，\n似乎正在向隔壁那坨\n龐然大物宣布獨立。
32006	[title26][sentence]\nThe doughnut is no longer edible.  It has\nbeen sitting here for . . . well, it's probably too \nold to be carbon dated.  The glaze has\nflowed down onto the newspaper forming\na permanent bond.	[title26][sentence]\n這甜甜圈早就不能吃了，\n放在這裡放到……嗯，\n大概老到連碳定年法\n都測不出來。糖霜已經\n把它和報紙黏成一體。
32007	[title30][sentence]\nHoping to find something interesting you take\na quick look at the magazine.  It does not resemble\nthe "Gal" magazine you used to read--everyone\nis in this issue is dressed.	[title30][sentence]\n你抱著看點好料的期待，\n隨手翻了一下這本雜誌，\n卻發現它跟你以前看的\n《辣妹》雜誌完全不同——\n這期裡每個人都穿得整整齊齊。
32008	[title27][sentence]\nThese little footballs remind you of boarding\nschool.  The only field goal you scored\nin your entire life was with one of these.	[title27][sentence]\n這些迷你橄欖球讓你想起\n寄宿學校的日子。你這輩子\n唯一的一次「射門得分」，\n就是靠其中一顆達成的。
32009	[title32][sentence]\nYou are not sure how old this newspaper is.  Through\nthe doughnut stains and coffee spillage\nyou are able to make out the headline, which\nreads: "War Of The Sexes - Women Wind Up On\nTop."	[title32][sentence]\n你不確定這份報紙有多舊了，\n穿過甜甜圈漬痕和咖啡\n漬跡，你勉強認出頭條\n寫著：「性別戰爭——\n女人終究『壓在上頭』。」
32010	[title25][sentence]\nThe clipboard has a pencil and a strange\nnote on it.  From the illegibility of the\nhandwriting you assume the author was\nengaged in medical practice.	[title25][sentence]\n這塊寫字板上夾著一枝\n鉛筆和一張怪字條。\n看那鬼畫符般的筆跡，\n你猜這八成是醫生寫的。
32011	[title25][sentence]\nIn front of you are two monitors used by the\nguards for security purposes.  The desk they\nsit at is cluttered with junk.	[title25][sentence]\n你面前有兩台螢幕，\n是警衛用來監控保全的。\n螢幕下的桌子堆滿雜物。
32012	[title29][sentence]\nThe contents of the mug have already\nrendered it incapable of being resanitized.\nYou decide that there are more interesting\nways to catch exotic diseases.	[title29][sentence]\n這杯子裡的東西，\n已經髒到沒救，\n沒辦法再消毒了。\n你覺得想染上什麼怪病，\n應該有更有趣的辦法。
32013	[title25][sentence]\nThere isn't any blank paper left to\ndoodle on, so you decide to leave it.	[title25][sentence]\n沒有空白的紙可以塗鴉了，\n你決定不拿它。
32014	[title26][sentence]\nThe doughnut may yet evolve into\nthe cure for something, but currently\nit holds no value.	[title26][sentence]\n這甜甜圈說不定哪天\n會演化成什麼特效藥，\n但現在它一點用也沒有。
32015	[title20][sentence]\nYou'd just lose it.  Leave it here.	[title20][sentence]\n你只會把它弄丟，\n還是留在這裡吧。
32016	[title19][sentence]\nThere are no naked pictures in it,\nso it is of no use to you.	[title19][sentence]\n裡面沒有裸體照片，\n對你來說沒什麼用。
32017	[title22][sentence]\nThe newspaper is stuck to the desk\nby the adhesive doughnut glaze.\n	[title22][sentence]\n報紙已經被黏答答的\n甜甜圈糖霜黏在桌上了。\n
32210	[title12][sentence]\nYou see a rock wall.	[title12][sentence]\n你看到一面石牆。
32211	[title29][sentence]\nThe keypad has twelve keys on it.\nThe numerals zero through nine are\npresent, as well as 'smile' and 'frown'\nkeys.	[title29][sentence]\n這個鍵盤上有十二個按鍵，\n除了數字0到9之外，\n還多了『笑臉』和\n『哭臉』兩個鍵。
32212	[title29][sentence]\nThis is entry device is about\nas complicated as a pocket\ncalculator.  Take your time;\nyou'll get it eventually.	[title29][sentence]\n這台輸入裝置的複雜程度，\n大概跟計算機差不多。\n慢慢來，你遲早\n會搞懂的。
32213	[title25][sentence]\nIt's a key.  Hint: It's about the same\nsize as the tip of a human finger.	[title25][sentence]\n這是一把鑰匙。提示：\n它大概只有指尖那麼大。
32214	[title17][sentence]\nYou are standing in an\nalien teleportation device.\n	[title17][sentence]\n你正站在一台\n外星傳送裝置裡。\n
35110	[title26][sentence]\nClose examination reveals that the screen\nhas been disabled by a small piece of\nrock, which appears to have transferred\nan inordinate amount of kinetic energy to the\npicture tube.	[title26][sentence]\n仔細一看你發現螢幕\n已經報銷了——兇手是\n一小塊石頭，顯然把\n大量動能一股腦兒\n轉移到了映像管上。
35111	[title25][sentence]\nAs you examine the damage you are \nglad that you were on the good side\nof that large sauropod fellow.	[title25][sentence]\n看著這片狼藉，你慶幸\n自己是站在那隻\n蜥腳龍朋友的這一邊。
35112	[title25][sentence]\nYou are amazed by the strength of the\nsauropod and feel sorry for any dogs \nin the area.	[title25][sentence]\n你對這隻蜥腳龍的\n蠻力嘆為觀止，也替附近\n可能出現的狗兒默哀。
35113	[title27][sentence]\nThis guard has apparently seen better days.	[title27][sentence]\n這個警衛顯然過得不太好。
35114	[title33][sentence]\nThis guard has probably looked better.  You \ngather the credit chip in her hand was used in\nan attempt to buy her safety from your large\nfriend.  Apparently, the offer was refused.\n	[title33][sentence]\n這個警衛顯然也不太妙。\n看她手裡還握著信用晶片，\n你猜她是想拿它跟你的\n大個子朋友買條命——\n看樣子，對方沒接受。\n
35115	[title33][sentence]\nThis equipment has been pretty well\ndestroyed.  Even if you could repair\nit you wouldn't know how to use it.\nYou would be wise to consider it "scrap".	[title33][sentence]\n這台設備已經徹底報銷了。\n就算修得好，你也不會用。\n還是死心，\n當它是一堆「廢鐵」吧。
35116	[title19][sentence]\nThe desk, along with everything around\nit, has been demolished.	[title19][sentence]\n這張桌子連同周圍的一切，\n全都被砸爛了。
35117	[title20][sentence]\nThe machine serves as this poor\nguard's head rest.  In its current condition,\nit is capable of little else.	[title20][sentence]\n這台機器現在的功能，\n只剩下讓這可憐的警衛\n枕著頭而已。
35118	[title20][sentence]\nThis gadget looks familiar to you.	[title20][sentence]\n這個小玩意你看著眼熟。
35119	[title27][sentence]\nIt's blinking!  That means it probably works.\nToo bad it's operation is a complete mystery to you.	[title27][sentence]\n它在閃燈！表示大概還能用。\n可惜你完全不知道\n該怎麼操作它。
35120	[title20][sentence]\nThrough the door is the security area\nyou just came from.	[title20][sentence]\n穿過這扇門，就是你\n剛剛離開的保全區。
35121	[title26][sentence]\nThe room has been devastated, with things\nthrown and smashed everywhere.\nThe place certainly has changed since you\nwere here last.  What a mess!	[title26][sentence]\n這個房間被砸得亂七八糟，\n東西丟得到處都是。\n跟你上次來的時候\n完全不一樣了。真是一團亂！
35122	[title20][sentence]\nThe pole obviously serves some important\nstructural purpose, the exact nature of which\nis beyond your architectural expertise.\n	[title20][sentence]\n這根柱子顯然有什麼\n重要的結構功能，\n但確切原理已經超出\n你的建築知識範圍。\n
35310	[title25][sentence]\nWell, don't just stand there.\nGo around it.	[title25][sentence]\n別傻站在這裡了，\n繞過去吧。
35311	[title24][sentence]\nThe large pipes must carry something\nsomewhere.  None of them have been\ndamaged.	[title24][sentence]\n這些粗水管一定是在\n輸送什麼東西。\n它們都完好無損。
