CREDITS.TXR.5	Produced and Designed by	製作與設計
CREDITS.TXR.6	MATT GRUSON	MATT GRUSON
CREDITS.TXR.8	Executive Producer	執行製作人
CREDITS.TXR.9	TED MARKLEY	TED MARKLEY
CREDITS.TXR.11	Lead Programmer & Technical Director	首席程式設計與技術總監
CREDITS.TXR.12	BRIAN REYNOLDS	BRIAN REYNOLDS
CREDITS.TXR.14	Art Director	美術指導
CREDITS.TXR.15	KENN NISHIUYE	KENN NISHIUYE
CREDITS.TXR.17	Music By	音樂
CREDITS.TXR.18	JEFFERY L. BRIGGS	JEFFERY L. BRIGGS
CREDITS.TXR.23	THE DESIGN TEAM	設計團隊
CREDITS.TXR.25	Game Design @ MATT GRUSON	遊戲設計 @ MATT GRUSON
CREDITS.TXR.26	\t    @ JEFF CHARLEBOIS	\t    @ JEFF CHARLEBOIS
CREDITS.TXR.27	\t    @ TED MARKLEY	\t    @ TED MARKLEY
CREDITS.TXR.29	Rex's Log Text @ STEVE MERETZKY	雷克斯船長日誌文字 @ STEVE MERETZKY
CREDITS.TXR.31	Manual Text @ DOUG KAUFMAN	說明手冊文字 @ DOUG KAUFMAN
CREDITS.TXR.33	Game Text @ JEFF CHARLEBOIS	遊戲文字 @ JEFF CHARLEBOIS
CREDITS.TXR.34	\t  @ MATT GRUSON	\t  @ MATT GRUSON
CREDITS.TXR.35	\t  @ BRIAN REYNOLDS	\t  @ BRIAN REYNOLDS
CREDITS.TXR.40	THE ART TEAM	美術團隊
CREDITS.TXR.42	Art Director @ KENN NISHIUYE	美術指導 @ KENN NISHIUYE
CREDITS.TXR.44	Painting @ MIKE GIBSON (Lead)	繪圖 @ MIKE GIBSON（首席）
CREDITS.TXR.45	\t @ NICHOLAS RUSKO-BERGER	\t @ NICHOLAS RUSKO-BERGER
CREDITS.TXR.46	\t @ KENN NISHIUYE	\t @ KENN NISHIUYE
CREDITS.TXR.48	Animation @ FRANK FRAZIER (Lead)	動畫 @ FRANK FRAZIER（首席）
CREDITS.TXR.49	\t  @ CHARLES SHENTON	\t  @ CHARLES SHENTON
CREDITS.TXR.50	\t  @ KEN RACE	\t  @ KEN RACE
CREDITS.TXR.51	\t  @ CINDY LANG-BACHUR	\t  @ CINDY LANG-BACHUR
CREDITS.TXR.52	\t  @ KEVIN BOEHM	\t  @ KEVIN BOEHM
CREDITS.TXR.53	\t  @ ANNE-MARIE COX	\t  @ ANNE-MARIE COX
CREDITS.TXR.54	\t  @ JACKIE ROSS	\t  @ JACKIE ROSS
CREDITS.TXR.55	\t  @ PATRICK DOWNEY	\t  @ PATRICK DOWNEY
CREDITS.TXR.56	\t  @ KENN (again)	\t  @ KENN（又是他）
CREDITS.TXR.58	3-D Animation @ MATT GRUSON	3-D 動畫 @ MATT GRUSON
CREDITS.TXR.59	\t      @ ANDY LAKEN	\t      @ ANDY LAKEN
CREDITS.TXR.61	3-D Models @ FRANK VIVIRITO	3-D 模型 @ FRANK VIVIRITO
CREDITS.TXR.62	\t   @ ANDY LAKEN	\t   @ ANDY LAKEN
CREDITS.TXR.63	\t   @ GINNY SCHMIDT	\t   @ GINNY SCHMIDT
CREDITS.TXR.64	\t   @ MAX REMINGTON	\t   @ MAX REMINGTON
CREDITS.TXR.66	Lead Rotoscope Engineer	首席轉描工程師
CREDITS.TXR.67	CHARLES SHENTON	CHARLES SHENTON
CREDITS.TXR.69	Rotoscoping and Image Processing Tools	轉描與影像處理工具
CREDITS.TXR.70	MATT GRUSON	MATT GRUSON
CREDITS.TXR.72	Rotoscope Modeling @ DREW WILLIAMS	轉描建模 @ DREW WILLIAMS
CREDITS.TXR.73	\t\t   @ BONNIE SHEEKS	\t\t   @ BONNIE SHEEKS
CREDITS.TXR.74	\t\t   @ CLAIRE BAGBY	\t\t   @ CLAIRE BAGBY
CREDITS.TXR.75	\t\t   @ CINDY LANG-BACHUR	\t\t   @ CINDY LANG-BACHUR
CREDITS.TXR.76	\t\t   @ GINNY SCHMIDT	\t\t   @ GINNY SCHMIDT
CREDITS.TXR.77	\t\t   @ FRANK FRAZIER	\t\t   @ FRANK FRAZIER
CREDITS.TXR.78	\t\t   @ SARAH FRAZIER	\t\t   @ SARAH FRAZIER
CREDITS.TXR.79	\t\t   @ NICHOLAS RUSKO-BERGER	\t\t   @ NICHOLAS RUSKO-BERGER
CREDITS.TXR.80	\t\t   @ IRIS IDOKOGI	\t\t   @ IRIS IDOKOGI
CREDITS.TXR.81	\t\t   @ ANNE-MARIE COX	\t\t   @ ANNE-MARIE COX
CREDITS.TXR.82	\t\t   @ MIKE GIBSON	\t\t   @ MIKE GIBSON
CREDITS.TXR.84	Assistant to Mr. Nebular	尼布勒先生的助理
CREDITS.TXR.85	MURRAY TAYLOR	MURRAY TAYLOR
CREDITS.TXR.87	Assistant to Ms. Nebular	尼布勒小姐的助理
CREDITS.TXR.88	VICKI FORD	VICKI FORD
CREDITS.TXR.90	Mr. Nebular's Stunt Double	尼布勒先生的特技替身
CREDITS.TXR.91	KEN RACE	KEN RACE
CREDITS.TXR.93	Colonel Stone's Stunt Double	史東上校的特技替身
CREDITS.TXR.94	JOE HELLESEN	JOE HELLESEN
CREDITS.TXR.96	Interface Animation Scripts	介面動畫腳本
CREDITS.TXR.97	MIKE GIBSON	MIKE GIBSON
CREDITS.TXR.98	NICHOLAS RUSKO-BERGER	NICHOLAS RUSKO-BERGER
CREDITS.TXR.103	THE DEVELOPMENT TEAM	開發團隊
CREDITS.TXR.105	Lead Programmer & Technical Director	首席程式設計與技術總監
CREDITS.TXR.106	BRIAN REYNOLDS	BRIAN REYNOLDS
CREDITS.TXR.108	Applications Programming @ GINNY SCHMIDT	應用程式設計 @ GINNY SCHMIDT
CREDITS.TXR.109	\t\t\t @ PAUL LAHAISE	\t\t\t @ PAUL LAHAISE
CREDITS.TXR.111	MADS System Design @ MATT GRUSON	MADS 系統設計 @ MATT GRUSON
CREDITS.TXR.112	\t\t   @ BRIAN REYNOLDS	\t\t   @ BRIAN REYNOLDS
CREDITS.TXR.114	MADS System Engineering	MADS 系統工程
CREDITS.TXR.115	BRIAN REYNOLDS	BRIAN REYNOLDS
CREDITS.TXR.117	MicroProse Installation Utility	MicroProse 安裝工具
CREDITS.TXR.118	BRIAN REYNOLDS	BRIAN REYNOLDS
CREDITS.TXR.120	Alchemist @ DAVID McKIBBIN	煉金術士 @ DAVID McKIBBIN
CREDITS.TXR.122	Programming Tidbits @ DETMAR PETERKE	程式瑣務 @ DETMAR PETERKE
CREDITS.TXR.123	\t\t    @ SCOTT PATTERSON	\t\t    @ SCOTT PATTERSON
CREDITS.TXR.125	Hardware Maintenance @ MIKE GOMEZ	硬體維護 @ MIKE GOMEZ
CREDITS.TXR.126	\t\t     @ SAL VITALE	\t\t     @ SAL VITALE
CREDITS.TXR.130	THE SOUND TEAM	音效團隊
CREDITS.TXR.132	Sound Department Management	音效部門管理
CREDITS.TXR.133	KEN LAGACE	KEN LAGACE
CREDITS.TXR.135	Music Composed By	音樂作曲
CREDITS.TXR.136	JEFFERY L. BRIGGS	JEFFERY L. BRIGGS
CREDITS.TXR.138	Sound Programming @ KEN LAGACE	音效程式設計 @ KEN LAGACE
CREDITS.TXR.139	\t\t  @ JIM McCONKEY	\t\t  @ JIM McCONKEY
CREDITS.TXR.140	\t\t  @ ROLAND RIZZO	\t\t  @ ROLAND RIZZO
CREDITS.TXR.141	\t\t  @ SCOTT PATTERSON	\t\t  @ SCOTT PATTERSON
CREDITS.TXR.143	Foley Editor @ JIM McCONKEY	擬音剪輯 @ JIM McCONKEY
CREDITS.TXR.145	Voice Track Editor @ SCOTT PATTERSON	配音剪輯 @ SCOTT PATTERSON
CREDITS.TXR.147	Voice Acting @ GREG KEMPER	配音演出 @ GREG KEMPER
CREDITS.TXR.148	\t     @ PAUL ELLIS	\t     @ PAUL ELLIS
CREDITS.TXR.149	\t     @ SHANNON HEPBURN	\t     @ SHANNON HEPBURN
CREDITS.TXR.151	Blood Curdling Screams @ BRIAN and MATT	驚聲尖叫 @ BRIAN and MATT
CREDITS.TXR.156	THE QUALITY ASSURANCE TEAM	品質保證團隊
CREDITS.TXR.158	Q.A. Management @ AL ROIREAU	品保管理 @ AL ROIREAU
CREDITS.TXR.159	\t\t@ MICHAEL CRAIGHEAD	\t\t@ MICHAEL CRAIGHEAD
CREDITS.TXR.161	Lead Tester @ FRANK BROWN	首席測試員 @ FRANK BROWN
CREDITS.TXR.163	Playtesting @ BILL BURTON	遊戲測試 @ BILL BURTON
CREDITS.TXR.164	\t    @ ANDY MAZUREK	\t    @ ANDY MAZUREK
CREDITS.TXR.165	\t    @ DAVE ELLIS	\t    @ DAVE ELLIS
CREDITS.TXR.166	\t    @ MIKE CORCORAN	\t    @ MIKE CORCORAN
CREDITS.TXR.167	\t    @ MIKE REA	\t    @ MIKE REA
CREDITS.TXR.168	\t    @ MICHAEL CRAIGHEAD	\t    @ MICHAEL CRAIGHEAD
CREDITS.TXR.169	\t    @ AL ROIREAU	\t    @ AL ROIREAU
CREDITS.TXR.170	\t    @ DAVE OSBORN	\t    @ DAVE OSBORN
CREDITS.TXR.171	\t    @ HARRY TEASLEY	\t    @ HARRY TEASLEY
CREDITS.TXR.172	\t    @ TED MARKLEY	\t    @ TED MARKLEY
CREDITS.TXR.173	\t    @ VAUGHN THOMAS	\t    @ VAUGHN THOMAS
CREDITS.TXR.174	\t    @ SALLY STALCUP	\t    @ SALLY STALCUP
CREDITS.TXR.175	\t    @ MICHELE ROIREAU	\t    @ MICHELE ROIREAU
CREDITS.TXR.176	\t    @ DIETZEL BROWN	\t    @ DIETZEL BROWN
CREDITS.TXR.181	THE MARKETING TEAM	行銷團隊
CREDITS.TXR.183	Rex Nebular Project Manager	《錯體奇航》專案經理
CREDITS.TXR.184	MONIQUE CARON	MONIQUE CARON
CREDITS.TXR.186	Marketing Emperor	行銷皇帝
CREDITS.TXR.187	GERRY BLAIR	GERRY BLAIR
CREDITS.TXR.189	Marketing Director	行銷總監
CREDITS.TXR.190	DEBBIE CHEEK	DEBBIE CHEEK
CREDITS.TXR.192	Marketing Services Director	行銷服務總監
CREDITS.TXR.193	MARY HERRON	MARY HERRON
CREDITS.TXR.195	Marketing Services Coordinator	行銷服務協調員
CREDITS.TXR.196	BRENDA BLOOMFIELD	BRENDA BLOOMFIELD
CREDITS.TXR.198	Art Director @ JOHN EMORY	美術指導 @ JOHN EMORY
CREDITS.TXR.200	Package Cover Art @ ERIC OLSON	包裝封面美術 @ ERIC OLSON
CREDITS.TXR.202	Package Design @ JOHN EMORY	包裝設計 @ JOHN EMORY
CREDITS.TXR.203	\t       @ MOSHE MILICH	\t       @ MOSHE MILICH
CREDITS.TXR.205	Advertising Placement @ LINDSAY RIEHL	廣告刊登 @ LINDSAY RIEHL
