300	scenic mountains	秀麗群山
301	sea cliff	海崖
302	seaweed	海草
303	seaweed bank	海草堆
304	security card	保全卡
305	set	設定
306	shake hands	握手
307	sharpen	磨利
308	shield access panel	護盾檢修板
309	shield generator	護盾產生器
310	shield modulator	護盾調變器
311	shield status panel	護盾狀態板
312	ship	太空船
313	shoot	射擊
314	shovel	鏟子
315	shred	撕碎
316	shrunken heads	縮小人頭
317	singed meat	燒焦肉
318	sit in	坐進
319	skull	骷髏頭
320	skull and crossbones	骷髏標誌
321	sky	天空
322	sleep on	睡在
323	slithering snake	游動蛇
324	slug secretion	蛞蝓黏液
325	small hole	小洞
326	smell	聞
327	snake	蛇
328	sniff	嗅聞
329	soak	浸泡
330	special key 1	特殊鍵1
331	special key 2	特殊鍵2
332	spider	蜘蛛
333	spilt milk	灑落牛奶
334	spit fire	噴火
335	spray	噴灑
336	stab	刺
337	stairs	樓梯
338	stalagmites	石筍
339	stand inside	站進去
340	stare at	盯著看
341	steps	階梯
342	stuffed fish	魚標本
343	surface	表面
344	swim across	游過
345	swim into	游進
346	swim through	游穿
347	swim to	游到
348	swim towards	游向
349	swim under	游往下方
350	swooping creature	俯衝生物
351	table	桌子
352	take liver	拿取肝臟
353	take off	脫下
354	take page	拿取書頁
355	tall grass	高草叢
356	tape player	錄音機
357	target computer	瞄準電腦
358	target module	瞄準模組
359	targetting computer	目標電腦
360	tasmanian devil	袋獾
361	tasty turkey	美味火雞
362	teleport device	傳送裝置
363	teleporter	傳送器
364	thatched roof	茅草屋頂
365	thorns	荊棘
366	thorny bush	荊棘叢
367	tie	領帶
368	timebomb	定時炸彈
369	timer	計時器
370	timer module	計時模組
371	tree	樹
372	trees	樹叢
373	trodden path	踩踏小徑
374	tube	管子
375	tunnel	隧道
376	twinkie bush	甜滋灌木
377	twinkifruit	甜滋果
378	unlock	解鎖
379	uzi	烏茲槍
380	vase	花瓶
381	video game	電動玩具
382	view	景觀
383	view screen	螢幕
384	viewport	觀景窗
385	village area	村莊區域
386	village to west	西邊村莊
387	volcano	火山
388	vulture	禿鷹
389	wad of cattle parts	一坨牛雜
390	walk across	走過
391	walk inside	走進去
392	walk on	踩上
393	walk outside	走到外面
394	walk through	走穿
395	walk towards	走向
396	wall	牆壁
397	watch tower	瞭望塔
398	water	水
399	weapons display	武器展示
400	wear	穿戴
401	weather station	氣象站
402	weather vane	風向標
403	weight machine	秤重機
404	western cliff face	西側崖壁
405	wheel	輪子
406	window	窗戶
407	witchdoctor hut	巫醫小屋
408	workbench	工作台
409	write on	寫在
410	yellow birdy	黃鳥仔
411	grass	草
412	bouncing reptile	跳躍爬蟲
413	deep pit	深坑
414	lowlands to north	北邊低地
415	small bush	小灌木
416	small cactus	小仙人掌
417	rocky area to north	北邊石地
418	bamboo-like plant	竹狀植物
419	mountainside	山腰
420	field	田野
421	grassy field	草原
422	crag	峭壁
423	huge legs	巨大雙腿
424	leaf-covered pit	落葉坑洞
425	pile of leaves	落葉堆
426	open field to east	東邊開闊地
427	lawn	草坪
428	walk down	走下
429	path to west	西邊小徑
430	hedge	樹籬
431	village path	村莊小徑
432	path to northeast	東北邊小徑
433	jungle path	叢林小徑
434	thick undergrowth	濃密灌叢
435	ocean	海洋
436	ocean in distance	遠方海洋
437	strange device	奇怪裝置
438	bush	灌木
439	anemometer	風速計
440	island in distance	遠方島嶼
441	path	小徑
442	trophy	戰利品
443	specimen jars	標本罐
444	bowl	碗
445	large bowl	大碗
446	path to north	北邊小徑
447	hut to north	北邊小屋
448	path to east	東邊小徑
